concept_id,category,data_value,gest_value
43744408,CONTRA,0,
43744409,CONTRA,0,
43744410,CONTRA,0,
43745439,CONTRA,0,
43745440,CONTRA,0,
43745441,CONTRA,0,
43745443,CONTRA,0,
43745445,CONTRA,0,
43745448,CONTRA,0,
43745449,CONTRA,0,
43745450,CONTRA,0,
43745451,CONTRA,0,
43745452,CONTRA,0,
43745453,CONTRA,0,
43745454,CONTRA,0,
43745456,CONTRA,0,
43745458,CONTRA,0,
43745459,CONTRA,0,
43745460,CONTRA,0,
43745461,CONTRA,0,
43745462,CONTRA,0,
35783111,MTX,0,
35783175,MTX,0,
35783176,MTX,0,
35783177,MTX,0,
35783314,MTX,0,
35783603,MTX,0,
35783721,MTX,0,
35783722,MTX,0,
35783726,MTX,0,
35783727,MTX,0,
35783742,MTX,0,
35783743,MTX,0,
35783750,MTX,0,
35783764,MTX,0,
35783771,MTX,0,
43190422,MTX,0,
43196415,MTX,0,
43196416,MTX,0,
43196561,MTX,0,
43196562,MTX,0,
43196563,MTX,0,
43196564,MTX,0,
43197335,MTX,0,
43197691,MTX,0,
43197988,MTX,0,
43201474,MTX,0,
43201475,MTX,0,
43201476,MTX,0,
43201477,MTX,0,
43201478,MTX,0,
43201479,MTX,0,
43201480,MTX,0,
43207334,MTX,0,
43207473,MTX,0,
43207474,MTX,0,
43208551,MTX,0,
43208792,MTX,0,
43208863,MTX,0,
43212269,MTX,0,
43212270,MTX,0,
43212271,MTX,0,
43212272,MTX,0,
43212273,MTX,0,
43212274,MTX,0,
43212275,MTX,0,
43212276,MTX,0,
43212277,MTX,0,
43218334,MTX,0,
43218477,MTX,0,
43218478,MTX,0,
43218479,MTX,0,
43218480,MTX,0,
43218953,MTX,0,
43218954,MTX,0,
43219238,MTX,0,
43219782,MTX,0,
43219845,MTX,0,
43219846,MTX,0,
43219851,MTX,0,
43219860,MTX,0,
43256468,MTX,0,
43256469,MTX,0,
43256470,MTX,0,
43256471,MTX,0,
43256472,MTX,0,
43256473,MTX,0,
43256474,MTX,0,
43259125,MTX,0,
43259126,MTX,0,
43259276,MTX,0,
43259348,MTX,0,
43259356,MTX,0,
43259357,MTX,0,
43259376,MTX,0,
43259377,MTX,0,
43261780,MTX,0,
43261781,MTX,0,
43261782,MTX,0,
43261783,MTX,0,
43261784,MTX,0,
43264222,MTX,0,
43264411,MTX,0,
43264412,MTX,0,
43264757,MTX,0,
43264774,MTX,0,
43264775,MTX,0,
43264779,MTX,0,
43264780,MTX,0,
43264781,MTX,0,
43264782,MTX,0,
43264805,MTX,0,
43264806,MTX,0,
43265256,MTX,0,
41147634,MTX,0,
41147635,MTX,0,
41155895,MTX,0,
41155896,MTX,0,
41155897,MTX,0,
41155898,MTX,0,
41155899,MTX,0,
43521205,OVULDR,0,
43521206,OVULDR,0,
43521207,OVULDR,0,
43521208,OVULDR,0,
43521209,OVULDR,0,
43521210,OVULDR,0,
43521211,OVULDR,0,
43521212,OVULDR,0,
43521213,OVULDR,0,
43521214,OVULDR,0,
43521215,OVULDR,0,
43521216,OVULDR,0,
43521217,OVULDR,0,
43521218,OVULDR,0,
43521219,OVULDR,0,
4060265,ULS,0,
4120986,PCOMP,0,
4049041,POST,0,
43530880,PCOMP,0,
4060105,AGP,0,
4075168,DELIV,0,
4059989,AGP,0,
4061530,AMNIO,0,
4064854,PCOMP,0,
4195345,AFP,0,
4066258,POST,0,
4059984,PCONF,0,
4071603,SB,0,
2110312,AGP,0,
2110313,AGP,0,
136530,PREM,0,
2721241,OVUL,0,
2721244,OVUL,0,
2721245,OVUL,0,
2721246,OVUL,0,
2721247,OVUL,0,
2721248,OVUL,0,
2721254,OVUL,0,
2721255,OVUL,0,
2788842,OVUL,0,
3004501,DIAB,0,
443800,AMEN,0,
2212173,UP,0,
2212631,HCG,0,
4076939,AGP,0,
4014295,LB,0,
437041,PCOMP,0,
2212094,OTEST,0,
2211749,ULS,0,
433260,DELIV,0,
4299535,PCONF,0,
2211757,ULS,0,
2101813,LDEL,0,
441641,DELIV,0,
2212198,AFP,0,
2110307,POST,0,
2212632,HCG,0,
2211747,ULS,0,
2211751,ULS,0,
4133029,PCONF,0,
78494,DELIV,0,
4075188,DELIV,0,
4014456,LB,0,
4029786,LB,0,
4032767,DELIV,0,
4211824,DELIV,0,
4227423,ECT,0,
